ticker,start_time,Q_shares,v60,realized_vol,volume_cv,twap_fill,vwap_fill,twap_is,vwap_is,market_vwap,twap_slip_mvwap,vwap_slip_mvwap,twap_avg_price,vwap_avg_price,p0,is_diff_vwap_minus_twap,vwap_better_is,slip_diff_vwap_minus_twap,vwap_better_mvwap
AAPL,2025-12-31 10:05:00-05:00,18781.18,1878118.0,0.0026049565293174,0.2535709412549838,1.0,1.0,-0.48927052815759,-0.5475063429735201,272.35248755351085,0.0582358148159301,0.0,272.4107233683268,272.35248755351085,272.8999938964844,-0.0582358148159301,True,-0.0582358148159301,True
MSFT,2026-02-20 10:15:00-05:00,29398.83,2939883.0,0.0053767855206767,0.1670589521187291,1.0,1.0,0.866681416829465,0.9327697333182527,398.1727599676933,-0.0660883164888446,-5.684341886080803e-14,398.10667165120446,398.17275996769325,397.239990234375,0.0660883164887877,False,0.0660883164887877,False
AMZN,2026-01-13 12:25:00-05:00,23074.63,2307463.0,0.0037447293996041,0.3299620485928612,1.0,1.0,-0.8549957275390341,-0.9598505438034692,243.39514518373556,0.1048548162644351,0.0,243.5,243.39514518373556,244.35499572753903,-0.1048548162644351,True,-0.1048548162644351,True
SPY,2026-02-23 13:45:00-05:00,76542.83,7654283.0,0.0015619885589454,0.2364185442810384,1.0,1.0,-1.4325154622395075,-1.477748845940596,681.7372780095284,0.0452333837008609,-2.273736754432321e-13,681.7825113932292,681.7372780095282,683.2150268554688,-0.0452333837010883,True,-0.0452333837010883,True
NVDA,2026-02-19 10:30:00-05:00,126280.47,12628047.0,0.0054845318662336,0.1605264418401254,1.0,1.0,-0.6807250976562784,-0.6600350619788742,187.7002707241539,-0.0206900356774042,0.0,187.67958068847653,187.7002707241539,188.3603057861328,0.0206900356774042,False,0.0206900356774042,False
NVDA,2026-02-20 10:00:00-05:00,231696.77,23169677.0,0.0074096050820341,0.2321841010752823,1.0,1.0,0.9005622863769247,0.8856434258408967,188.37413829888777,0.0149188605360279,0.0,188.3890571594238,188.37413829888777,187.48849487304688,-0.0149188605360279,True,-0.0149188605360279,True
MSFT,2025-12-02 13:20:00-05:00,7894.320000000001,789432.0,0.0017756771830269,0.2069278232731232,0.9999999999999998,1.0,-0.137090047200445,-0.1572801563311827,490.062721064372,0.0201901091306808,-5.684341886080803e-14,490.0829111735027,490.06272106437194,490.2200012207031,-0.0201901091307377,True,-0.0201901091307377,True
MSFT,2026-02-20 13:35:00-05:00,16645.52,1664552.0,0.0030147249479738,0.1995449380997186,1.0,1.0,0.190582275390625,0.1358771603038917,397.8758673946788,0.0547051150868469,1.1368683772161605e-13,397.9305725097656,397.8758673946789,397.739990234375,-0.0547051150867332,True,-0.0547051150867332,True
AMZN,2026-02-19 11:55:00-05:00,25948.33,2594833.0,0.0029522309506694,0.1872568542994003,1.0,1.0,-0.5138333638508925,-0.5221359240045729,204.57286529669855,0.0083025601536803,0.0,204.58116785685223,204.57286529669855,205.09500122070312,-0.0083025601536803,True,-0.0083025601536803,True
AMZN,2025-12-15 12:35:00-05:00,19567.84,1956784.0,0.0032084967300827,0.1880322959296501,1.0,1.0,-0.2567456563314465,-0.2628078918118035,222.57718844607885,0.006062235480357,0.0,222.5832506815592,222.57718844607885,222.83999633789065,-0.006062235480357,True,-0.006062235480357,True
